,date,dayDeaths
1127167,2021-10-09,15
1131179,2021-10-10,8
1135191,2021-10-11,11
1139203,2021-10-12,11
1143215,2021-10-13,13
1147227,2021-10-14,8
1151239,2021-10-15,18
1155251,2021-10-16,16
1159263,2021-10-17,8
1163275,2021-10-18,21
1167287,2021-10-19,9
1171299,2021-10-20,11
1175311,2021-10-21,16
1179323,2021-10-22,20
1183335,2021-10-23,21
1187347,2021-10-24,7
1191359,2021-10-25,15
1195371,2021-10-26,9
1199383,2021-10-27,11
1203395,2021-10-28,9
1207407,2021-10-29,13
1211419,2021-10-30,19
1215431,2021-10-31,9
1219443,2021-11-01,16
1223455,2021-11-02,18
1227467,2021-11-03,24
1231479,2021-11-04,20
1235491,2021-11-05,20
1239503,2021-11-06,11
1243515,2021-11-07,13
1247527,2021-11-08,18
1251539,2021-11-09,14
1255551,2021-11-10,21
1259563,2021-11-11,18
1263575,2021-11-12,32
1267587,2021-11-13,20
1271599,2021-11-14,12
1275611,2021-11-15,22
1279623,2021-11-16,21
1283635,2021-11-17,29
1287647,2021-11-18,28
1291659,2021-11-19,29
1295671,2021-11-20,30
1299683,2021-11-21,24
1303695,2021-11-22,30
1307707,2021-11-23,35
1311719,2021-11-24,38
1315731,2021-11-25,39
1319743,2021-11-26,52
1323755,2021-11-27,56
1327767,2021-11-28,32
1331779,2021-11-29,44
1335791,2021-11-30,35
1339803,2021-12-01,46
1343815,2021-12-02,34
1347827,2021-12-03,70
1351839,2021-12-04,43
1355851,2021-12-05,41
1359863,2021-12-06,64
1363875,2021-12-07,63
1367887,2021-12-08,57
1371899,2021-12-09,53
1375911,2021-12-10,80
1379923,2021-12-11,43
1383935,2021-12-12,40
1387947,2021-12-13,94
1391959,2021-12-14,69
1395971,2021-12-15,62
1399983,2021-12-16,73
1403995,2021-12-17,53
1408007,2021-12-18,78
1412019,2021-12-19,54
1416031,2021-12-20,52
1420043,2021-12-21,78
1424055,2021-12-22,109
1428067,2021-12-23,56
1432079,2021-12-24,105
1436091,2021-12-25,69
1440103,2021-12-26,55
1444115,2021-12-27,46
1448127,2021-12-28,36
1452139,2021-12-29,73
1456151,2021-12-30,108
1460163,2021-12-31,62
367,2022-01-01,69
4379,2022-01-02,36
8391,2022-01-03,51
12403,2022-01-04,57
16415,2022-01-05,49
20427,2022-01-06,45
24439,2022-01-07,54
28451,2022-01-08,51
32463,2022-01-09,34
36475,2022-01-10,43
40487,2022-01-11,52
44499,2022-01-12,44
48511,2022-01-13,49
52523,2022-01-14,22
56535,2022-01-15,29
60547,2022-01-16,23
64559,2022-01-17,45
68571,2022-01-18,74
72583,2022-01-19,28
76595,2022-01-20,21
80607,2022-01-21,28
84619,2022-01-22,11
88631,2022-01-23,25
92643,2022-01-24,23
96655,2022-01-25,32
100667,2022-01-26,34
104679,2022-01-27,24
108691,2022-01-28,34
112703,2022-01-29,20
116715,2022-01-30,23
120727,2022-01-31,17
124739,2022-02-01,15
128751,2022-02-02,25
132763,2022-02-03,24
136775,2022-02-04,22
140787,2022-02-05,15
144799,2022-02-06,13
148811,2022-02-07,36
152823,2022-02-08,21
156836,2022-02-09,20
160848,2022-02-10,49
164860,2022-02-11,33
168872,2022-02-12,36
172884,2022-02-13,21
176896,2022-02-14,61
180908,2022-02-15,39
184920,2022-02-16,36
188932,2022-02-17,45
192944,2022-02-18,71
196956,2022-02-19,51
200968,2022-02-20,45
204980,2022-02-21,58
208992,2022-02-22,99
213004,2022-02-23,82
217016,2022-02-24,94
221028,2022-02-25,112
225040,2022-02-26,49
229052,2022-02-27,114
233064,2022-02-28,112
237076,2022-03-01,96
241088,2022-03-02,128
245100,2022-03-03,186
249112,2022-03-04,216
253124,2022-03-05,161
257136,2022-03-06,139
261148,2022-03-07,186
265160,2022-03-08,158
269172,2022-03-09,206
273184,2022-03-10,229
277196,2022-03-11,269
281208,2022-03-12,251
285220,2022-03-13,200
289232,2022-03-14,293
293244,2022-03-15,164
297256,2022-03-16,429
301268,2022-03-17,301
305280,2022-03-18,319
309292,2022-03-19,327
313304,2022-03-20,329
317316,2022-03-21,384
321328,2022-03-22,291
325340,2022-03-23,470
329352,2022-03-24,392
333364,2022-03-25,323
337376,2022-03-26,282
341388,2022-03-27,287
345400,2022-03-28,237
349412,2022-03-29,432
353424,2022-03-30,375
357436,2022-03-31,360
361448,2022-04-01,339
